Deploy complete @ Wed Aug 23 2017 14:36:04 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:36:16 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:36:18 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:36:27 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:36:29 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:37:22 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:37:24 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:37:55 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:37:57 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:38:01 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:38:05 GMT-0700 (PDT). added/changed 6 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:38:22 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:38:24 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:38:53 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:38:55 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:39:09 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:39:11 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:39:26 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
